,Name,Date,Pattern,Closing Price,High after 1 day,High after 2 days,High after 3 days,High after 4 days,High after 5 days,High after 6 days,High after 7 days,High after 8 days,High after 9 days,High after 10 days,High after 15 days,High after 20 days,High after 25 days,High after 30 days,Up/down after 1 day,Up/down after 2 day,Up/down after 3 day,Up/down after 4 day,Up/down after 5 day,Up/down after 6 day,Up/down after 7 day,Up/down after 8 day,Up/down after 9 day,Up/down after 10 day,Up/down after 15 day,Up/down after 20 day,Up/down after 25 day,Up/down after 30 day,% change after 1 days,% change after 2 days,% change after 3 days,% change after 4 days,% change after 5 days,% change after 6 days,% change after 7 days,% change after 8 days,% change after 9 days,% change after 10 days,% change after 15 days,% change after 20 days,% change after 25 days,% change after 30 days
46,Sunpower Corporation,2021-03-05,hammer,30.68000031,31.70000076,33.24000168,34.97999954,36.08000183,36.72999954,37.88000107,36.25,33.81999969,32.66999817,32.58000183,33.40999985,34.31999969,29.54000092,28.21999931,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3.33%,8.34%,14.02%,17.60%,19.72%,23.47%,18.16%,10.24%,6.49%,6.19%,8.90%,11.86%,-3.72%,-8.02%
47,Suncor,2017-06-02,hammer,31.09000015,31.22999954,31.45999908,31.46999931,30.62999916,30.76000023,31.05999947,31.05999947,30.94000053,29.89999962,29.94000053,29.22999954,29.69000053,28.54999924,29.92000008,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.45%,1.19%,1.22%,-1.48%,-1.06%,-0.10%,-0.10%,-0.48%,-3.83%,-3.70%,-5.98%,-4.50%,-8.17%,-3.76%
48,Suncor,2020-03-13,hammer,16.23999977,14.71000004,13.64000034,12.14999962,11.15999985,11.90999985,11.42000008,12.05000019,13.86999989,14.14000034,12.30000019,17.93000031,16.97999954,15.52000046,15.93000031,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-9.42%,-16.01%,-25.19%,-31.28%,-26.66%,-29.68%,-25.80%,-14.59%,-12.93%,-24.26%,10.41%,4.56%,-4.43%,-1.91%
49,Suncor,2020-07-29,hammer,16.43000031,16.23999977,16.36000061,16.29000092,16.25,17.02000046,16.76000023,16.31999969,16.92000008,17.78000069,17.54000092,16.90999985,16.62000084,16.29000092,14.26000023,0,0,0,0,1,1,0,1,1,1,1,1,0,0,-1.16%,-0.43%,-0.85%,-1.10%,3.59%,2.01%,-0.67%,2.98%,8.22%,6.76%,2.92%,1.16%,-0.85%,-13.21%
50,Pfizer Inc,2015-09-02,hammer,30.33206749,30.75901222,30.09487724,30.90132713,31.33776093,31.11005783,31.29981041,31.34724808,31.64136505,31.57495308,32.22011566,31.19544601,30.23719215,31.53700256,32.39089203,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1.41%,-0.78%,1.88%,3.32%,2.57%,3.19%,3.35%,4.32%,4.10%,6.23%,2.85%,-0.31%,3.97%,6.79%
51,Pfizer Inc,2016-01-29,hammer,28.92789459,28.8425045,28.78557968,28.52941132,28.07400322,27.9127121,27.49525642,27.70398521,28.36812019,27.83681107,27.87476349,28.52941132,28.63377571,28.28273201,28.78557968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.30%,-0.49%,-1.38%,-2.95%,-3.51%,-4.95%,-4.23%,-1.94%,-3.77%,-3.64%,-1.38%,-1.02%,-2.23%,-0.49%
52,Pfizer Inc,2016-10-03,hammer,31.95445824,32.17267609,32.23908997,32.06830978,32.25806427,32.10626221,31.85009575,31.53700256,31.21442032,31.21442032,31.0341568,30.7020874,30.39848137,28.88045502,31.21442032,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.68%,0.89%,0.36%,0.95%,0.48%,-0.33%,-1.31%,-2.32%,-2.32%,-2.88%,-3.92%,-4.87%,-9.62%,-2.32%
53,Pfizer Inc,2016-12-07,hammer,29.59202957,29.50664139,30.28462982,30.97723007,31.19544601,31.59392738,31.27134705,31.25237274,31.2808342,31.19544601,31.24288368,30.94876671,31.97343445,31.10056877,30.18975258,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.29%,2.34%,4.68%,5.42%,6.77%,5.68%,5.61%,5.71%,5.42%,5.58%,4.59%,8.05%,5.10%,2.02%
54,Pfizer Inc,2017-05-05,hammer,31.76470566,31.89753342,31.86907005,31.42314911,31.44212532,31.37571144,31.48007584,31.11954498,30.9297905,30.75901222,30.79696465,30.63567352,30.91081619,31.39468765,31.54648972,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.42%,0.33%,-1.08%,-1.02%,-1.23%,-0.90%,-2.03%,-2.63%,-3.17%,-3.05%,-3.55%,-2.69%,-1.17%,-0.69%
55,Pfizer Inc,2017-08-02,hammer,31.23339653,32.07780075,32.25806427,31.86907005,31.74573135,31.74573135,31.83111954,31.85009575,31.66034126,31.81214333,31.77419472,31.67931747,31.76470566,32.38140488,34.00379562,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.70%,3.28%,2.04%,1.64%,1.64%,1.91%,1.97%,1.37%,1.85%,1.73%,1.43%,1.70%,3.68%,8.87%
56,AbbVie Inc,2019-07-12,hammer,70.27999878,71.01999664,70.30000305,69.86000061,68.94999695,68.81999969,68.75,68.44000244,67.88999939,67.87000275,69.13999939,65.79000092,66.87000275,64.80999756,67.79000092,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.05%,0.03%,-0.60%,-1.89%,-2.08%,-2.18%,-2.62%,-3.40%,-3.43%,-1.62%,-6.39%,-4.85%,-7.78%,-3.54%
